Freddy vs. Jason	2020-10-01	2019-09-21
Candyman	2020-10-06	2019-10-05
Mr. Right	2020-10-06	
13th warrior	2020-10-06	2019-06-21
hard target	2020-10-06	2019-12-15
dda	2020-10-06	2019-12-27
lawrence of arabia	2020-10-06	2020-03-14
gremlins 2	2020-10-06	2020-06-19
Black Christmas	2020-10-06	2019-11-30
videodrome	2020-10-06	2019-11-08
Halloween 3	2020-10-06	2019-10-11
Alien 3	2020-10-06	2020-03-07
Triangle	2020-10-06	
bad boys 2	2020-10-06	2019-06-23
end of days	2020-10-04	2020-10-03
The Conversation	2020-10-05	2020-02-07
Candyman	2020-10-06	2019-10-05
Mr. Right	2020-10-06	
13th warrior	2020-10-06	2019-06-21
hard target	2020-10-06	2019-12-15
dda	2020-10-06	2019-12-27
lawrence of arabia	2020-10-06	2020-03-14
gremlins 2	2020-10-06	2020-06-19
Black Christmas	2020-10-06	2019-11-30
videodrome	2020-10-06	2019-11-08
Halloween 3	2020-10-06	2019-10-11
Alien 3	2020-10-06	2020-03-07
Triangle	2020-10-06	
bad boys 2	2020-10-06	2019-06-23
hot fuzz	2020-10-06	2019-06-29
point break	2020-10-06	2019-06-21
M	2020-10-06	2020-04-04
Night of the Living Dead	2020-10-06	2020-05-16
a boy and his dog	2020-10-06	2020-06-12
Scream	2020-10-06	
Gone in 60 Seconds	2020-10-06	2020-01-18
death trap	2020-10-06	2020-03-21
resident evil	2020-10-06	2020-03-27
little murders	2020-10-06	2020-08-01
the nice guys	2020-10-06	2020-05-04
bad times at el royale	2020-10-06	2019-08-03
resident evil 2	2020-10-07	2020-04-01
total recall	2020-10-07	2020-05-30
The Spy Who Loved Me	2020-10-07	2020-01-25
Alien	2020-10-07	
Midnight Run	2020-10-07	2020-01-12
scanners	2020-10-18	2020-04-15
the exorcist 3	2020-10-18	2020-10-17
faq about time travel	2020-10-18	2020-07-24
resolution	2020-10-18	2020-05-09
hp1	2020-10-18	
identity	2020-10-18	
xtro	2020-10-18	2019-11-23
hardcore Henry	2020-10-28	2019-11-23
the craft	2020-10-28	2019-09-07
Nightmare 1	2020-10-28	
Bulworth	2020-10-28	2020-01-12
surviving the game	2020-10-28	2020-08-27
Vertigo	2020-10-28	
spawn	2020-10-28	2019-11-09
The Long Kiss Goodnight	2020-10-28	2020-09-12
2 fast 2 furious	2020-10-28	2020-09-02
cyborg	2020-10-28	2024-02-03
demolition man	2020-10-28	2020-04-22
the village	2020-10-28	
flash gordon	2020-10-28	2020-04-18
Chungking Express	2020-10-28	2020-02-29
an american werewolf in london	2020-10-28	
the omen	2020-10-28	
Aliens	2020-10-28	
Chocolate (2008)	2020-10-28	2020-01-25
police story	2020-10-28	
Live and Let Die	2020-10-28	2019-11-30
burn after reading	2020-10-28	2021-04-18
House of Flying Daggers	2020-10-28	2019-09-22
die hard 2	2021-01-19	2020-03-21
Waterworld	2021-01-19	2020-02-22
hackers	2021-01-19	2020-08-20
evil dead 2	2021-01-19	2020-11-25
Event Horizon	2021-01-19	2020-02-22
Eastern Promises	2021-01-19	2020-01-17
bone tomahawk	2021-01-19	2020-04-08
hausu	2021-01-19	
Nightmare 4	2021-01-19	2019-10-12
Pitch Black	2021-01-19	2019-07-13
pump up the volume	2021-01-19	2020-05-16
Solarbabies	2021-01-19	
the guard	2021-01-19	
Thing	2021-01-19	
Krampus	2021-04-06	2019-12-08
Now You See Me	2021-04-06	
romeo+juliet	2021-04-06	
Universal Soldier	2021-04-06	2020-02-02
in the mouth of madness	2021-04-07	2021-01-13
Indiana Jones (first)	2021-04-07	
The Big Heat	2021-04-07	2021-04-07
The Third Man	2021-04-07	2020-04-04
meshes of the afternoon	2021-04-18	2021-04-18
speed	2021-04-18	2021-04-17
black dynamite	2021-04-18	2019-07-27
police story 2	2021-04-18	2021-04-18
INDIANA JONES (FIRST)	2017	2018-01-01
